Aluno,Universidade,Nota,Resultado
H6181,D3369,,Escolhida
K6184,D3369,,Aceita
J6195,D3369,"3,48",Escolhida
K6196,D3369,"2,48",Aceita
L6197,D3369,"3,15",Aceita
G6198,D3369,,Aceita
I6200,D3369,"3,82",Aceita
I6206,D3369,"2,91",Aceita
K6208,D3369,"2,48",Escolhida
L6215,D3369,"2,48",Aceita
I6218,D3369,,Cancelada
L6221,D3369,"3,15",Escolhida
I6224,D3369,"3,15",Aceita
J6225,D3369,"4,15",Aceita
L6227,D3369,"2,15",Aceita
I6236,D3369,,Aceita
G6240,D3369,,Aceita
K6004,E3370,"3,15",Negada
L6011,E3370,,Aceita
H6025,E3370,"2,82",Cancelada
I6074,E3370,,Cancelada
L6101,E3370,"3,48",Cancelada
G6108,E3370,,Cancelada
J6147,E3370,,Cancelada
L6161,E3370,,Cancelada
L6161,E3370,,Cancelada
H6193,E3370,"2,82",Cancelada
J6051,E3370,,Negada
G6066,E3370,,Cancelada
K6076,E3370,"3,15",Negada
K6082,E3370,,Negada
J6087,E3370,"2,48",Negada
L6089,E3370,"2,82",Negada
J6099,E3370,"3,48",Negada
J6105,E3370,,Negada
J6111,E3370,,Negada
G6114,E3370,,Negada
I6122,E3370,"3,48",Negada
L6137,E3370,,Negada
J6147,E3370,,Aceita
K6190,E3370,"2,15",Negada
L6191,E3370,,Aceita
G6198,E3370,,Negada
J6015,F3371,"3,48",Negada
I6032,F3371,,Aceita
J6153,F3371,"2,82",Escolhida
I6188,F3371,,Aceita
I6188,A3372,,Cancelada
G6138,B3373,,Aceita
J6003,C3374,"2,82",Aceita
H6031,C3374,"3,15",Aceita
G6012,C3374,,Cancelada
K6034,C3374,"3,15",Aceita
L6071,C3374,"2,15",Aceita
H6115,C3374,"3,15",Aceita
G6156,C3374,,Escolhida
K6208,C3374,"2,48",Aceita
K6232,C3374,,Escolhida
L6059,D3375,"2,15",Aceita
I6062,D3375,"3,48",Aceita
G6156,D3375,,Aceita
J6231,D3375,"2,48",Aceita
K6244,E3376,,Aceita
J6135,F3377,"3,48",Cancelada
H6157,A3378,"3,48",Aceita
J6027,B3379,"4,29",Negada
K6010,B3379,"2,82",Cancelada
I6026,B3379,,Cancelada
K6064,B3379,,Cancelada
J6075,B3379,,Cancelada
G6120,B3379,"3,15",Cancelada
H6193,B3379,"2,82",Cancelada
L6227,B3379,"2,15",Cancelada
L6035,B3379,"3,15",Negada
L6041,B3379,"3,48",Inválida / Cancelada
L6053,B3379,"2,82",Escolhida
L6059,B3379,"2,15",Negada
G6066,B3379,,Cancelada
H6067,B3379,,Negada
H6073,B3379,"2,82",Negada
I6080,B3379,"3,48",Negada
I6080,B3379,"3,48",Negada
L6101,B3379,"3,48",Aceita
J6111,B3379,,Inválida / Cancelada
G6114,B3379,,Inválida / Cancelada
I6122,B3379,"3,48",Escolhida
L6137,B3379,,Inválida / Cancelada
G6162,B3379,,Aceita
H6175,B3379,,Aceita
I6176,B3379,"3,15",Negada
G6192,B3379,,Negada
H6199,B3379,,Negada
G6204,B3379,,Negada
J6207,B3379,"3,48",Negada
L6209,B3379,,Negada
L6215,B3379,"2,48",Cancelada
H6223,B3379,"2,82",Negada
L6239,B3379,"3,48",Inválida / Cancelada
J6039,C3380,,Cancelada
G6054,C3380,"3,48",Aceita
I6140,C3380,"3,15",Aceita
L6197,C3380,"3,15",Aceita
J6225,C3380,"4,15",Aceita
H6109,D3381,,Aceita
G6150,E3382,,Escolhida
J6135,F3383,"3,48",Cancelada
J6195,F3383,"3,48",Cancelada
I6236,F3383,,Cancelada
I6062,F3383,"3,48",Aceita
G6072,F3383,"3,48",Inválida / Cancelada
G6078,F3383,"3,48",Aceita
L6143,F3383,"3,48",Aceita
K6184,F3383,,Aceita
J6225,F3383,"4,15",Aceita
I6122,A3384,"3,48",Cancelada
J6213,A3384,,Cancelada
L6041,A3384,"3,48",Escolhida
I6050,A3384,"4,15",Aceita
J6057,A3384,"2,82",Negada
K6064,A3384,,Cancelada
L6065,A3384,,Negada
H6067,A3384,,Aceita
K6070,A3384,"3,82",Aceita
I6086,A3384,"3,15",Aceita
H6121,A3384,"3,48",Escolhida
L6131,A3384,,Aceita
L6137,A3384,,Cancelada
K6166,A3384,"3,48",Escolhida
L6179,A3384,"4,15",Escolhida
J6189,A3384,"4,15",Aceita
G6204,A3384,,Aceita
J6207,A3384,"3,48",Aceita
K6238,A3384,"3,48",Negada
L6239,A3384,"3,48",Escolhida
K6106,B3385,"2,48",Aceita
L6131,B3385,,Aceita
K6238,B3385,"3,48",Escolhida
I6050,C3386,"4,15",Aceita
H6055,C3386,,Escolhida
J6135,C3386,"3,48",Escolhida
G6216,C3386,"3,48",Negada
J6225,C3386,"4,15",Inválida / Cancelada
L6233,C3386,,Escolhida
G6012,D3387,,Inválida / Cancelada
G6018,D3387,"3,48",Aceita
H6073,D3387,"2,82",Cancelada
L6113,D3387,"3,82",Cancelada
G6174,D3387,"3,48",Cancelada
L6179,D3387,"4,15",Cancelada
L6203,D3387,"2,15",Cancelada
K6238,D3387,"3,48",Cancelada
H6037,D3387,"2,48",Escolhida
H6043,D3387,,Cancelada
K6046,D3387,"2,48",Aceita
J6057,D3387,"2,82",Aceita
K6058,D3387,"3,48",Aceita
G6060,D3387,"3,82",Aceita
J6063,D3387,,Aceita
L6083,D3387,"3,15",Aceita
K6088,D3387,"2,82",Aceita
L6089,D3387,"2,82",Aceita
G6096,D3387,"3,15",Aceita
H6097,D3387,"3,48",Aceita
J6123,D3387,,Escolhida
L6125,D3387,"4,15",Aceita
G6126,D3387,,Aceita
H6127,D3387,"3,15",Aceita
H6133,D3387,"2,82",Aceita
L6137,D3387,,Aceita
K6142,D3387,"2,48",Cancelada
K6160,D3387,"2,82",Aceita
G6174,D3387,"3,48",Cancelada
G6192,D3387,,Cancelada
K6196,D3387,"2,48",Aceita
K6202,D3387,,Aceita
L6215,D3387,"2,48",Aceita
I6218,D3387,,Aceita
L6221,D3387,"3,15",Cancelada
G6222,D3387,"2,82",Escolhida
L6227,D3387,"2,15",Aceita
G6240,D3387,,Aceita
J6231,E3388,"2,48",Negada
H6163,F3389,,Cancelada
J6033,F3389,"3,15",Aceita
H6043,F3389,,Aceita
L6047,F3389,,Escolhida
H6049,F3389,,Aceita
G6060,F3389,"3,82",Cancelada
H6067,F3389,,Aceita
J6069,F3389,,Aceita
J6075,F3389,,Aceita
H6109,F3389,,Aceita
H6121,F3389,"3,48",Aceita
H6151,F3389,"2,48",Cancelada
G6174,F3389,"3,48",Aceita
I6218,F3389,,Aceita
G6222,F3389,"2,82",Negada
G6228,F3389,,Negada
G6000,A3390,"4,15",Aceita
H6007,A3390,"3,15",Cancelada
L6101,A3390,"3,48",Cancelada
H6193,A3390,"2,82",Cancelada
L6053,A3390,"2,82",Aceita
I6080,A3390,"3,48",WaitList
I6128,A3390,,Negada
J6207,A3390,"3,48",Escolhida
I6230,A3390,"3,15",Negada
L6239,A3390,"3,48",Negada
G6018,B3391,"3,48",Aceita
J6153,B3391,"2,82",Cancelada
H6025,C3392,"2,82",Cancelada
K6010,C3392,"2,82",Cancelada
K6064,C3392,,Cancelada
I6170,C3392,,Cancelada
J6201,C3392,,Cancelada
J6219,C3392,,Cancelada
L6041,C3392,"3,48",Negada
I6044,C3392,"3,82",Aceita
L6053,C3392,"2,82",Aceita
L6065,C3392,,Negada
I6080,C3392,"3,48",Negada
I6080,C3392,"3,48",Negada
J6105,C3392,,Negada
G6120,C3392,"3,15",Cancelada
L6131,C3392,,Aceita
L6137,C3392,,Aceita
K6166,C3392,"3,48",Aceita
I6176,C3392,"3,15",Aceita
I6182,C3392,"3,24",Negada
K6190,C3392,"2,15",Negada
H6199,C3392,,Escolhida
G6204,C3392,,Negada
J6213,C3392,,Aceita
I6230,C3392,"3,15",Escolhida
K6238,C3392,"3,48",Aceita
L6239,C3392,"3,48",Aceita
K6010,D3393,"2,82",Cancelada
I6050,D3393,"4,15",Cancelada
G6090,D3393,"3,48",Cancelada
G6138,D3393,,Cancelada
H6067,D3393,,Negada
J6069,D3393,,Negada
H6121,D3393,"3,48",Negada
L6239,D3393,"3,48",Negada
L6221,E3394,"3,15",Cancelada
J6045,E3394,,Negada
H6109,E3394,,Negada
K6130,E3394,"2,82",Negada
I6242,E3394,"2,82",Cancelada
K6244,E3394,,Aceita
H6025,F3395,"2,82",Cancelada
G6210,F3395,,Cancelada
H6091,F3395,"2,48",Aceita
G6090,A3396,"3,48",Aceita
H6061,B3397,"2,48",Aceita
L6155,B3397,"2,82",WaitList
I6092,C3398,"3,48",Escolhida
G6228,D3399,,Cancelada
J6195,D3399,"3,48",Cancelada
I6014,E3400,"2,82",Aceita
H6109,E3400,,Aceita
I6008,F3401,"2,82",Negada
I6026,F3401,,Aceita
K6010,F3401,"2,82",Cancelada
K6118,F3401,"4,15",Aceita
G6126,F3401,,WaitList
L6131,F3401,,Negada
G6162,F3401,,Aceita
H6175,F3401,,Aceita
L6179,F3401,"4,15",Aceita
K6184,A3402,,Aceita
I6110,B3403,"2,82",Aceita
G6006,C3404,,Aceita
I6110,D3405,"2,82",Escolhida
L6029,E3406,,Cancelada
L6023,F3407,"4,15",Cancelada
I6104,F3407,,Cancelada
K6118,F3407,"4,15",Cancelada
L6125,F3407,"4,15",Cancelada
J6141,F3407,"3,82",Cancelada
H6205,F3407,,Cancelada
H6229,F3407,"4,15",Cancelada
I6044,F3407,"3,82",Negada
I6056,F3407,"3,82",Negada
K6058,F3407,"3,48",Negada
K6082,F3407,,Negada
K6094,F3407,,Negada
L6095,F3407,,Negada
H6103,F3407,,Negada
G6108,F3407,,Negada
K6112,F3407,"3,15",Negada
G6114,F3407,,Negada
K6124,F3407,"3,48",Negada
J6129,F3407,"3,48",Negada
I6140,F3407,"3,15",Negada
I6146,F3407,"3,48",Negada
J6147,F3407,,Negada
H6181,F3407,,Negada
K6202,F3407,,Negada
H6211,F3407,"3,82",Negada
I6212,F3407,,Aceita
L6023,A3408,"4,15",Negada
L6023,A3408,"4,15",Cancelada
I6068,A3408,,Cancelada
H6187,A3408,,Negada
H6211,A3408,"3,82",Negada
J6213,A3408,,Aceita
H6079,B3409,,Cancelada
L6095,B3409,,Aceita
I6128,B3409,,Aceita
I6026,C3410,,WaitList
L6101,C3410,"3,48",Cancelada
K6046,C3410,"2,48",Negada
I6050,C3410,"4,15",Negada
J6057,C3410,"2,82",Negada
J6069,C3410,,Negada
I6080,C3410,"3,48",WaitList
J6099,C3410,"3,48",Negada
L6131,C3410,,Negada
G6144,C3410,"3,15",Negada
G6192,C3410,,Negada
H6193,C3410,"2,82",Escolhida
G6198,C3410,,Inválida / Cancelada
G6204,C3410,,Negada
L6209,C3410,,Negada
K6238,C3410,"3,48",Negada
J6243,C3410,"2,82",Negada
J6195,D3411,"3,48",Cancelada
H6055,D3411,,Cancelada
J6195,D3411,"3,48",Cancelada
H6013,E3412,"2,15",WaitList
L6017,E3412,,Aceita
L6023,E3412,"4,15",Negada
H6235,E3412,"3,15",Cancelada
H6079,E3412,,Cancelada
I6128,E3412,,Escolhida
J6213,E3412,,Aceita
L6023,F3413,"4,15",WaitList
L6023,F3413,"4,15",Cancelada
I6194,F3413,,Cancelada
H6235,F3413,"3,15",Cancelada
J6189,F3413,"4,15",Negada
J6195,F3413,"3,48",Negada
I6200,F3413,"3,82",Negada
H6229,F3413,"4,15",Negada
I6062,A3414,"3,48",Aceita
H6097,A3414,"3,48",Cancelada
G6000,B3415,"4,15",Negada
L6023,B3415,"4,15",Cancelada
K6022,B3415,"3,48",Cancelada
I6080,B3415,"3,48",Cancelada
I6104,B3415,,Cancelada
I6140,B3415,"3,15",Cancelada
J6141,B3415,"3,82",Cancelada
J6183,B3415,,Cancelada
H6229,B3415,"4,15",Cancelada
I6044,B3415,"3,82",Negada
I6056,B3415,"3,82",Negada
K6058,B3415,"3,48",Negada
K6094,B3415,,Negada
L6095,B3415,,Negada
L6101,B3415,"3,48",Negada
G6102,B3415,"3,48",Negada
H6103,B3415,,Negada
G6108,B3415,,Negada
K6124,B3415,"3,48",Negada
L6125,B3415,"4,15",Negada
G6132,B3415,,Negada
J6147,B3415,,Negada
L6149,B3415,"4,15",Negada
I6176,B3415,"3,15",Negada
H6181,B3415,,Negada
L6185,B3415,,Negada
J6195,B3415,"3,48",Negada
H6211,B3415,"3,82",Negada
I6212,B3415,,Negada
H6229,B3415,"4,15",Negada
J6237,B3415,,Negada
K6112,C3416,"3,15",Negada
L6149,C3416,"4,15",Negada
L6023,D3417,"4,15",Cancelada
J6117,D3417,"4,15",Negada
J6213,D3417,,Aceita
J6219,D3417,,Negada
H6127,E3418,"3,15",Aceita
L6029,F3419,,Negada
H6157,F3419,"3,48",Cancelada
J6231,F3419,"2,48",Aceita
I6242,F3419,"2,82",Escolhida
J6081,A3420,,Cancelada
H6145,B3421,"2,15",Aceita
H6049,C3422,,Cancelada
K6142,C3422,"2,48",Negada
L6239,C3422,"3,48",Aceita
K6208,D3423,"2,48",Aceita
H6145,E3424,"2,15",Aceita
I6242,E3424,"2,82",Aceita
L6023,F3425,"4,15",Negada
K6094,F3425,,Negada
G6132,F3425,,Negada
H6181,F3425,,Negada
J6213,F3425,,Negada
J6237,F3425,,Negada
H6169,A3426,,Cancelada
L6035,A3426,"3,15",Aceita
I6164,A3426,"2,82",Cancelada
I6026,B3427,,Aceita
K6010,B3427,"2,82",Cancelada
J6063,B3427,,Inválida / Cancelada
J6243,B3427,"2,82",Aceita
G6000,C3428,"4,15",Negada
J6015,C3428,"3,48",Negada
L6023,C3428,"4,15",Negada
G6030,C3428,"3,15",Negada
L6023,C3428,"4,15",Cancelada
J6051,C3428,,Cancelada
I6080,C3428,"3,48",Cancelada
L6101,C3428,"3,48",Cancelada
J6111,C3428,,Cancelada
J6183,C3428,,Cancelada
H6187,C3428,,Cancelada
G6042,C3428,,Negada
K6070,C3428,"3,82",Escolhida
H6085,C3428,"3,82",Negada
K6094,C3428,,Negada
G6102,C3428,"3,48",Negada
I6104,C3428,,Escolhida
G6108,C3428,,Negada
J6129,C3428,"3,48",Negada
G6132,C3428,,Negada
J6141,C3428,"3,82",Negada
J6147,C3428,,Negada
I6158,C3428,,Negada
J6189,C3428,"4,15",Negada
J6201,C3428,,Negada
H6211,C3428,"3,82",Negada
I6212,C3428,,Negada
J6237,C3428,,Negada
H6001,D3429,,Aceita
J6087,D3429,"2,48",Cancelada
L6167,D3429,,Cancelada
G6042,D3429,,Aceita
H6043,D3429,,Aceita
L6047,D3429,,Aceita
H6049,D3429,,Aceita
H6127,D3429,"3,15",Negada
K6142,D3429,"2,48",Negada
K6160,D3429,"2,82",Escolhida
J6165,D3429,"2,48",Escolhida
L6239,D3429,"3,48",Aceita
